,0. Disease,1. FullDate,2. Link,3. georss
0,Mumps,20230330,https://www.hurriyet.com.tr/kelebek/saglik/kizamik-vakalari-artti-bebeklerde-asilar-erkene-alindi-aileler-soruyor-1-yas-asisini-9uncu-ayda-yaptirirsak-ne-olur-42242327,47.16667 27.60000
1,Mumps,20230329,https://proycontra.com.pe/se-reportaron-mas-de-400-casos-de-paperas/,-13.52264 -71.96734
2,Mumps,20230328,https://urgente24.com/sexus/este-signo-los-testiculos-se-asocia-enfermedad-sexual-n552972,38.89511 -77.03637
3,Mumps,20230327,https://www.przetargi.egospodarka.pl/20015283101_REALIZACJA-SZKOLEN-DLA-NAUCZYCIELI-I-UCZNIOW-W-RAMACH-PROJEKTU-EcoCentrum-Kompetencji-BOF-utworzenie-branzowego-centrum-kompetencji-w-obszarze-efektywnosci-gospodarowania-energia-i-zasobami_2023_2.html,53.13333 23.16433
4,Mumps,20230327,https://www.openpr.com/news/2989705/valuation-of-mumps-vaccine-is-expected-to-grow-at-us-3-7-billion,28.63576 77.22445
5,Mumps,20230327,https://samorzad.pap.pl/klub-samorzadowy/brwinow/kategoria/aktualnosci/brwinow-brwinowskie-powitanie-wiosny,52.14269 20.71697
6,Mumps,20230326,http://outbreaknewstoday.com/h1n1-cluster-reported-at-ho-chi-minh-city-school-34768/,6.60084 0.47130
7,Mumps,20230325,https://www.sanews.gov.za/features-south-africa/civil-servants-frontline-battlefield,38.89511 -77.03637
8,Mumps,20230324,https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-un-comite-d-accueil-pour-le-ministre-pap-ndiaye-aux-carmes-a-orleans-malgre-l-annulation-de-sa-venue_14283434/,47.87406 2.01479
9,Mumps,20230324,https://www.infobae.com/noticias/2023/03/23/paperas-cuales-son-sus-sintomas-causas-y-tratamiento/,38.89511 -77.03637
10,Mumps,20230322,https://novini247.com/tag/седмица-случаите.html,55.75222 37.61556
11,Mumps,20230321,"https://www.wnp.pl/finanse/bielsko-biala-jaroslaw-sellin-kondycje-polskiej-animacji-mozna-ocenic-jako-poprawna,690718.html",52.22977 21.01178
12,Mumps,20230320,https://www.urfa.com/stklar-asi-icin-yuruyus-yapti/,37.16708 38.79392
13,Mumps,20230320,https://www.financialexpress.com/lifestyle/health/can-h3n2-influenza-affect-your-sperm-count-read-on-to-find-out/3015905/,4.17521 73.50916
14,Mumps,20230320,https://www.archyde.com/playoffs-3rd-ligue-sr-there-will-be-a-decisive-match-between-anniviers-and-crans-montana/,46.22739 7.35559
15,Mumps,20230319,https://www.aljazeera.net/health/2023/3/19/%D9%87%D9%84-%D8%A7%D9%84%D8%AA%D8%B7%D8%B9%D9%8A%D9%85-%D9%8A%D8%A4%D8%AF%D9%8A-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AA%D9%88%D8%AD%D8%AF,53.68331 -1.49768
16,Mumps,20230319,https://slashdot.org/story/10/03/19/1232200/health-care-reform?sbsrc=thisday,50.50301 13.63617
17,Mumps,20230318,https://mangish.net/5-%d9%84%d9%82%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d9%87%d9%85%d8%a9-%d9%84%d9%83%d9%84-%d8%a7%d9%85%d8%b1%d8%a3%d8%a9-%d8%aa%d8%b9%d8%b1%d9%81%d9%89-%d8%b9%d9%84%d9%8a%d9%87%d8%a7/,26.27944 50.20833
18,Mumps,20230317,https://www.haberturk.com/prof-dr-ozlu-sivil-vatandaslar-enkaz-kaldirma-calismalarini-izlemeye-gitmemeli-3574517,36.90812 30.69556
19,Mumps,20230317,https://www.namibian.com.na/120815/read/Mumps-outbreak-reported-at-JP-Brandt-Primary-School,-22.95750 14.50528
20,Mumps,20230317,https://www.haber3.com/guncel/bilim-kurulu-uyesi-prof-dr-ozluden-deprem-bolgesi-icin-kritik-uyari-haberi-6122784,36.90812 30.69556
